 , date, time, times, wifi_ssid_name, stutus_result   , play youtube, local host      , bytes transmitted, average cpu load, (Mb)          , (MB/s)          
  ,2021/5/12, 01:42:22 ,    ,CBN_CH8679G_Nelson-5G ,Successed ,Played ,10.118.252.82 ,114637250,43.32102091,916.344703,109.236801
  ,2021/5/12, 01:43:41 ,204,CBN_CH8679G_Nelson-24G ,Scanning ,Played ,10.118.252.82 ,114637250,50.85144952,914.2027984,108.9814661
  ,2021/5/12, 01:45:16 ,    ,CBN_CH8679G_Nelson-5G ,Successed ,Played ,10.118.252.82 ,113982180,37.09581277,910.7218344,108.5665029
  ,2021/5/12, 01:46:28 ,205,CBN_CH8679G_Nelson-24G ,Scanning ,Played ,10.118.252.82 ,112672040,47.97094233,897.2238054,106.9574124
  ,2021/5/12, 01:48:00 ,    ,CBN_CH8679G_Nelson-5G ,Successed ,Played ,10.118.252.82 ,108741620,67.13099308,864.3466437,103.0381493
  ,2021/5/12, 01:49:05 ,206,CBN_CH8679G_Nelson-24G ,Scanning ,Played ,10.118.252.82 ,110051760,41.65685187,879.6179932,104.858636
  ,2021/5/12, 01:50:15 ,    ,CBN_CH8679G_Nelson-5G ,Scanning ,Played ,10.118.252.82 ,115292320,56.11517065,921.3278966,109.830844
  ,2021/5/12, 01:51:25 ,207,CBN_CH8679G_Nelson-24G ,Connecting ,Played ,10.118.252.82 ,113982180,42.70449795,907.3831581,108.1685016
  ,2021/5/12, 01:52:52 ,    ,CBN_CH8679G_Nelson-5G ,Successed ,Played ,10.118.252.82 ,119877810,46.06804001,955.4463082,113.8980756
  ,2021/5/12, 01:54:19 ,208,CBN_CH8679G_Nelson-24G ,Successed ,Played ,10.118.252.82 ,115292320,60.76737397,920.6271605,109.7473097
  ,2021/5/12, 01:55:38 ,    ,CBN_CH8679G_Nelson-5G ,Successed ,Played ,10.118.252.82 ,116602460,43.75339306,932.7104936,111.1877553
  ,2021/5/12, 01:56:48 ,209,CBN_CH8679G_Nelson-24G ,Scanning ,Played ,10.118.252.82 ,119877810,48.56958652,956.3533667,114.0062054
  ,2021/5/12, 01:58:15 ,    ,CBN_CH8679G_Nelson-5G ,Successed ,Played ,10.118.252.82 ,118567670,49.56212125,944.019443,112.5358871
  ,2021/5/12, 01:59:24 ,210,CBN_CH8679G_Nelson-24G ,Scanning ,Played ,10.118.252.82 ,110706830,53.94693652,885.301516,105.5361648
  ,2021/5/12, 02:00:48 ,    ,CBN_CH8679G_Nelson-5G ,Successed ,Played ,10.118.252.82 ,117912600,43.9320366,940.2037771,112.0810243
  ,2021/5/12, 02:01:56 ,211,CBN_CH8679G_Nelson-24G ,Scanning ,Played ,10.118.252.82 ,115947390,57.9979513,925.833981,110.3680111
  ,2021/5/12, 02:03:15 ,    ,CBN_CH8679G_Nelson-5G ,Successed ,Played ,10.118.252.82 ,106121340,68.41726413,847.4698736,101.0262815
  ,2021/5/12, 02:04:25 ,212,CBN_CH8679G_Nelson-24G ,Scanning ,Played ,10.118.252.82 ,117257530,44.48065494,937.0754214,111.7080952
  ,2021/5/12, 02:05:45 ,    ,CBN_CH8679G_Nelson-5G ,Successed ,Played ,10.118.252.82 ,116602460,67.59967002,931.7753408,111.0762764
  ,2021/5/12, 02:07:05 ,213,CBN_CH8679G_Nelson-24G ,Successed ,Played ,10.118.252.82 ,119222740,40.82636461,950.9130641,113.3576708
  ,2021/5/12, 02:08:26 ,    ,CBN_CH8679G_Nelson-5G ,Successed ,Played ,10.118.252.82 ,110051760,57.90250434,879.7866953,104.8787469
  ,2021/5/12, 02:09:37 ,214,CBN_CH8679G_Nelson-24G ,Scanning ,Played ,10.118.252.82 ,114637250,45.18158357,915.8058335,109.1725628
  ,2021/5/12, 02:10:43 ,    ,CBN_CH8679G_Nelson-5G ,Scanning ,Played ,10.118.252.82 ,107431480,93.15773552,856.5037122,102.103199
  ,2021/5/12, 02:11:55 ,215,CBN_CH8679G_Nelson-24G ,Scanning ,Played ,10.118.252.82 ,119877810,47.44468484,954.9647432,113.8406686
  ,2021/5/12, 02:13:23 ,    ,CBN_CH8679G_Nelson-5G ,Successed ,Played ,10.118.252.82 ,114637250,57.83942728,915.0054639,109.0771513
  ,2021/5/12, 02:14:35 ,216,CBN_CH8679G_Nelson-24G ,Connecting ,Played ,10.118.252.82 ,113982180,53.41152813,909.8249075,108.4595808
  ,2021/5/12, 02:15:53 ,    ,CBN_CH8679G_Nelson-5G ,Successed ,Played ,10.118.252.82 ,113982180,51.63510662,909.2233979,108.3878753
  ,2021/5/12, 02:17:18 ,217,CBN_CH8679G_Nelson-24G ,Successed ,Played ,10.118.252.82 ,119222740,39.86129839,953.3121171,113.6436602
  ,2021/5/12, 02:18:29 ,    ,CBN_CH8679G_Nelson-5G ,Connecting ,Played ,10.118.252.82 ,114637250,42.86654589,914.9869635,109.0749459
  ,2021/5/12, 02:24:12 ,218,CBN_CH8679G_Nelson-24G ,Connecting ,IGNORE ,10.118.252.82 ,116602460,61.34474809,928.8386304,110.7261932
  ,2021/5/12, 02:25:38 ,    ,CBN_CH8679G_Nelson-5G ,Successed ,Played ,10.118.252.82 ,116602460,43.53790553,930.2104447,110.8897263
  ,2021/5/12, 02:26:57 ,219,CBN_CH8679G_Nelson-24G ,Scanning ,Played ,10.118.252.82 ,115292320,51.27377205,921.2734834,109.8243574
  ,2021/5/12, 02:27:46 ,    ,CBN_CH8679G_Nelson-5G ,Successed ,IGNORE ,10.118.252.82 ,80573610,46.54461776,642.5770274,76.60115091
  ,2021/5/12, 02:29:13 ,220,CBN_CH8679G_Nelson-24G ,Scanning ,Played ,10.118.252.82 ,109396690,41.44852797,874.019914,104.191293
  ,2021/5/12, 02:30:36 ,    ,CBN_CH8679G_Nelson-5G ,Disconnected ,Played ,10.118.252.82 ,112672040,57.30530413,899.7845419,107.262676
  ,2021/5/12, 02:32:13 ,221,CBN_CH8679G_Nelson-24G ,Successed ,Played ,10.118.252.82 ,110706830,87.18486187,885.4874356,105.5583281
  ,2021/5/12, 02:33:49 ,    ,CBN_CH8679G_Nelson-5G ,Successed ,Played ,10.118.252.82 ,104156130,85.46804401,832.3326276,99.22178121
  ,2021/5/12, 02:35:07 ,222,CBN_CH8679G_Nelson-24G ,Disconnected ,Played ,10.118.252.82 ,108741620,72.31131299,868.4919973,103.532314
  ,2021/5/12, 02:36:43 ,    ,CBN_CH8679G_Nelson-5G ,Successed ,Played ,10.118.252.82 ,112672040,53.09202926,897.7180736,107.0163338
  ,2021/5/12, 02:37:59 ,223,CBN_CH8679G_Nelson-24G ,Connecting ,Played ,10.118.252.82 ,111361900,41.66356857,887.6472897,105.8158028
  ,2021/5/12, 02:39:21 ,    ,CBN_CH8679G_Nelson-5G ,Successed ,Played ,10.118.252.82 ,114637250,68.74350573,916.3099956,109.2326636
  ,2021/5/12, 02:40:53 ,224,CBN_CH8679G_Nelson-24G ,Successed ,Played ,10.118.252.82 ,117912600,49.62151345,943.1951086,112.4376188
  ,2021/5/12, 02:42:16 ,    ,CBN_CH8679G_Nelson-5G ,Successed ,Played ,10.118.252.82 ,119877810,39.70325198,955.3768676,113.8897976
  ,2021/5/12, 02:43:32 ,225,CBN_CH8679G_Nelson-24G ,Scanning ,Played ,10.118.252.82 ,108086550,89.74222872,863.1767024,102.8986815
  ,2021/5/12, 02:45:00 ,    ,CBN_CH8679G_Nelson-5G ,Successed ,Played ,10.118.252.82 ,100225710,86.34057988,799.0767468,95.25737129
  ,2021/5/12, 02:46:20 ,226,CBN_CH8679G_Nelson-24G ,Scanning ,Played ,10.118.252.82 ,112016970,44.03745915,891.4298446,106.2667185
  ,2021/5/12, 02:47:47 ,    ,CBN_CH8679G_Nelson-5G ,Successed ,Played ,10.118.252.82 ,110051760,88.82691959,879.3825472,104.8305687
  ,2021/5/12, 02:49:07 ,227,CBN_CH8679G_Nelson-24G ,Scanning ,Played ,10.118.252.82 ,110706830,41.41022925,882.1435677,105.159708
  ,2021/5/12, 02:50:42 ,    ,CBN_CH8679G_Nelson-5G ,Successed ,Played ,10.118.252.82 ,104156130,77.65114476,830.5249809,99.00629292
  ,2021/5/12, 02:52:00 ,228,CBN_CH8679G_Nelson-24G ,Scanning ,Played ,10.118.252.82 ,115947390,44.09994033,923.6509152,110.1077694
  ,2021/5/12, 02:53:25 ,    ,CBN_CH8679G_Nelson-5G ,Successed ,IGNORE ,10.118.252.82 ,103501060,83.29567455,826.41193,98.51597906
  ,2021/5/12, 02:54:49 ,229,CBN_CH8679G_Nelson-24G ,Scanning ,Played ,10.118.252.82 ,104811200,54.39078938,836.402733,99.70697558
  ,2021/5/12, 02:56:26 ,    ,CBN_CH8679G_Nelson-5G ,Successed ,Played ,10.118.252.82 ,111361900,57.61085767,886.7903391,105.7136463
  ,2021/5/12, 02:57:48 ,230,CBN_CH8679G_Nelson-24G ,Successed ,Played ,10.118.252.82 ,119222740,46.41389424,953.4043592,113.6546563
  ,2021/5/12, 02:59:21 ,    ,CBN_CH8679G_Nelson-5G ,Successed ,Played ,10.118.252.82 ,115947390,45.74950363,927.1220028,110.5215553
  ,2021/5/12, 03:00:36 ,231,CBN_CH8679G_Nelson-24G ,Scanning ,Played ,10.118.252.82 ,111361900,53.23678775,889.6477895,106.0542809
  ,2021/5/12, 03:01:58 ,    ,CBN_CH8679G_Nelson-5G ,Successed ,Played ,10.118.252.82 ,114637250,60.1215277,915.7280008,109.1632844
  ,2021/5/12, 03:03:14 ,232,CBN_CH8679G_Nelson-24G ,Scanning ,Played ,10.118.252.82 ,109396690,46.39075176,874.291371,104.2236532
  ,2021/5/12, 03:04:37 ,    ,CBN_CH8679G_Nelson-5G ,Successed ,Played ,10.118.252.82 ,115947390,51.27099464,925.4386742,110.3208869
